2560@1440,1993,0.35
2560@1377,694,0.12
1920@1048,430,0.08
1920@937,421,0.07
1360@768,37,0.01
1360@705,35,0.01
1366@705,34,0.01
1280@720,32,0.01
1366@768,30,0.01
1024@705,27,0.0
1920@1137,24,0.0
2560@1404,21,0.0
2048@1080,20,0.0
1920@1017,20,0.0
1856@1329,20,0.0
800@600,20,0.0
800@537,19,0.0
1920@1088,18,0.0
1280@657,17,0.0
1152@801,17,0.0
